Lang_Id,likely_subtag,LangName,regions,variants,ROD,RODs,Macro,unwritten,obsolete,deprecated,areas,ISO 639-3,confirmed,Date modified,comments
adw,adw-Latn-BR,Amundava,BR,,,,,1,,,SAM,adw,LE,9-Jan-2018,
adx,adx-Tibt-CN,"Tibetan, Amdo",CN,,,06255 06955 21182 22373,,,,,EAS,adx,,,
ady,ady-Cyrl-RU,Adyghe,DE EG IL IQ JO MK NL RU SY TR,,,06687 06688 06689 06690 06691,,,,,EEU NAF SEU WAS WEU,ady,CLDR,,
ady-Arab,ady-Arab-RU,Adyghe,DE EG IL IQ JO MK NL RU SY TR,,,06687 06688 06689 06690 06691,,,1,,EEU NAF SEU WAS WEU,ady,,,
ady-Latn,ady-Latn-TR,Adyghe,DE EG IL IQ JO MK NL RU SY TR,,,,,,,,EEU NAF SEU WAS WEU,ady,,,
adz,adz-Latn-PG,Adzera,PG,,,,,,,,MEL,adz,LE,10-Jan-2018,
ae,ae-Avst-IR,Avestan,IR,,,,,,1,,SAS,ave,CLDR,,Ancient
ae-Arab,ae-Arab-IR,Avestan,IR,,,,,,,,SAS,ave,,,Ancient
ae-Gujr,ae-Gujr-IR,Avestan,IR,,,,,,,,SAS,ave,,,
aea,aea-Latn-AU,Areba,AU,,,,,1,,,ANZ,aea,LE,10-Jan-2018,Extinct
aeb,aeb-Arab-TN,"Arabic, Tunisian Spoken",BE DE FR LY NL TN,,,07155 07156 07157 07158,,,,,NAF WEU,aeb,CLDR,,
aeb-Latn,aeb-Latn-TN,"Arabic, Tunisian Spoken",BE DE FR LY NL TN,,,07155 07156 07157 07158,,,,,NAF WEU,aeb,LE,12-Jan-2018,
aec,aec-Arab-EG,"Arabic, Sa'idi Spoken",EG,,,07144 07145,,,,,NAF,aec,,,
aed,aed-Zxxx-AR,Argentine Sign Language,AR,,,,,,,,SAM,aed,LE,3-Dec-2018,
aee,aee-Arab-AF,"Pashai, Northeast",AF,,,03306,,1,,,SAS,aee,,,
aek,aek-Latn-NC,Haeke,NC,,,,,1,,,MEL,aek,LE,10-Jan-2018,
ael,ael-Latn-CM,Ambele,CM,,,,,1,,,MAF,ael,,,
aem,aem-Latn-VN,Arem,LA VN,,,,,1,,,SEA,aem,NMC,7-Dec-2017,
aen,aen-Zxxx-AM,Armenian Sign Language,AM,,,,,,,,WAS,aen,LE,3-Dec-2018,
aeq,aeq-Arab-PK,Aer,PK,,,,,1,,,SAS,aeq,,,
aer,aer-Latn-AU,"Arrernte, Eastern",AU,,,,,,,,ANZ,aer,LE,10-Jan-2018,
