Lang_Id,likely_subtag,LangName,script,regions,default region,unwritten,not used,areas,ISO 639-3,confirmed,Date modified,comments
akk,akk-Xsux-IQ,Akkadian,Xsux,IQ,IQ,,1,WAS,akk,CLDR,,Ancient
akl-Latn,akl-Latn-PH,Inakeanon,Latn,PH US,PH,,,NAM SEA,akl,,,
akm-Zyyy,akm-Zyyy-IN,Aka-Bo,Zyyy,IN,IN,,,SAS,akm,,,Extinct
ako,ako-Latn-SR,Akurio,Latn,SR,SR,1,,SAM,ako,LE,9-Jan-2018,
akp,akp-Latn-GH,Siwu,Latn,GH,GH,,,WAF,akp,LE,12-Jan-2018,
akq,akq-Latn-PG,Ak,Latn,PG,PG,1,,MEL,akq,LE,10-Jan-2018,
akr,akr-Latn-VU,Araki,Latn,VU,VU,,,MEL,akr,LE,10-Jan-2018,
aks,aks-Qaax-TG,Akaselem,Qaax,TG,TG,1,,WAF,aks,,,
akt,akt-Latn-PG,Akolet,Latn,PG,PG,1,,MEL,akt,LE,10-Jan-2018,
aku,aku-Qaax-CM,Akum,Qaax,CM NG,CM,1,,MAF,aku,,,
akv,akv-Qaax-RU,Akhvakh,Qaax,AZ RU,RU,1,,EEU WAS,akv,,,
akw,akw-Latn-CG,Akwa,Latn,CG,CG,1,,MAF,akw,,,
akx-Zyyy,akx-Zyyy-IN,Aka-Kede,Zyyy,IN,IN,,,SAS,akx,,,Extinct
aky-Zyyy,aky-Zyyy-IN,Aka-Kol,Zyyy,IN,IN,,,SAS,aky,,,Extinct
akz,akz-Latn-US,Alabama,Latn,US,US,1,,NAM,akz,LE,9-Jan-2018,
ala-Latn,ala-Latn-NG,Alago,Latn,NG,NG,,,WAF,ala,,,
alc,alc-Latn-CL,Qawasqar,Latn,CL,CL,1,,SAM,alc,LE,9-Jan-2018,
ald-Latn,ald-Latn-CI,Alladian,Latn,CI,CI,,,WAF,ald,,,
ale-Cyrs,ale-Cyrs-US,Aleut,Cyrs,RU US,US,,1,EEU NAM,ale,,,
ale-Latn,ale-Latn-US,Aleut,Latn,RU US,US,,,EEU NAM,ale,,,
alf-Zyyy,alf-Zyyy-NG,Alege,Zyyy,NG,NG,,,WAF,alf,,,
alh,alh-Latn-AU,Alawa,Latn,AU,AU,1,,ANZ,alh,LE,10-Jan-2018,
ali,ali-Latn-PG,Amaimon,Latn,PG,PG,,,MEL,ali,LE,10-Jan-2018,
alj-Latn,alj-Latn-PH,Alangan,Latn,PH,PH,,,SEA,alj,,,
alk,alk-Qaax-LA,Alak,Qaax,LA,LA,1,,SEA,alk,NMC,20-Nov-2017,
all-Mlym,all-Mlym-IN,Allar,Mlym,IN,IN,,,SAS,all,,,
